COMPANY,DBA,ADDR1,ADDR2,CITY,ST,ZIP,REGION,STARTDT,URL,STRUCTURE,BUS-TYP-CTR,BUS-TYPE,PNAICS,INDUSTRY,NAICS_CT,NAICS,PSC-CTR,PSC,GOV_POC_FN,GOV_POC_MI,GOV_POC_LN,TITLE,GOV_POC_TEL,GOV_POC_EXTN,GOV_POC_FAX,GOV_POC_EMAIL,SB_TYPS_CTR,SB_TYP,8A,8A JV,SDB,HZ,MNR,WOB,CERT
FIVESTAR ELECTRICAL CONTRACTOR L.L.C.,FIVESTAR SERVICES,4417 13TH ST STE 142,,SAINT CLOUD,FL,34769,SOUTH,20050829,http://www.5star-intl.com,8H,9,2X~8C~8D~8E~8W~A2~LJ~OY~VW,611430,EDUC/TRAINING/HEALTH,238,212321N~212393N~213112N~213113N~221111N~221112N~221114N~221115N~221116N~221117N~221118N~221121N~221122N~221210N~221310N~221320N~221330N~236115N~236116N~236220N~237110N~237120N~237130N~237310N~237990E~238110N~238120N~238130N~238140N~238150N~238160N~238170N,1,Y1CA,KAYON,,JONES,PRESIDENT,3212502496,,3218955498,fivestar0341@yahoo.com,0,,,,,,BL,Y,
"HEARN JR, JOSEPH O",JHI TECHNOLOGY,4648 NORTHPOINTE CIR,,PENSACOLA,FL,32514,SOUTH,20130923,www.jhitechnology.com,2J,5,27~2X~A5~QF~VW,423440,WHLS/RETAIL/TRANSPORT,138,115115Y~115116Y~115310E~212299Y~213112Y~213113Y~213114Y~213115Y~238210Y~311999Y~325110Y~325120Y~325130Y~325180Y~325194Y~325199Y~333120Y~333131Y~333132Y~333314Y~333318Y~333611Y~333612Y~333618Y~334220Y~334419Y~334511Y~334512Y~334513Y~334515Y~334519Y~336111Y,0,,JOE,,HEARN,OWNER,8505036231,,,joehearn@jhitechnology.com,0,,,,,,,,
"HIGHTOWER, JOHN C",,1721 MARBURY LN,,ALBANY,GA,31707,SOUTH,20130412,,2J,2,2X~VW,541612,ADMIN/BUSINESS SVCS,562,111421Y~111422Y~112120Y~112210Y~114210Y~115310E~211111Y~211112Y~212111Y~212112Y~212113Y~212210Y~212221Y~212222Y~212231Y~212234Y~212291Y~212299Y~212311Y~212312Y~212313Y~212319Y~212321Y~212322Y~212324Y~212325Y~212391Y~212392Y~212393Y~212399Y~221111Y~221112Y,0,,CLINT,,HIGHTOWER,,2298830125,,,hightowerclint@gmail.com,0,,,,,,,,
"JOHN DOUGH, LLC",,2405 MARTIN LUTHER KING JR BLVD,,GAINESVILLE,GA,30501,SOUTH,20110328,www.johndoughllc.com,2K,7,23~27~2X~A5~LJ~OY~VW,517919,PROF/TECH SVCS,144,423910Y~423920Y~423990Y~424340Y~424810Y~424820Y~424990Y~425110Y~425120Y~441210Y~445120Y~445299Y~445310Y~446120Y~448110Y~448120Y~448130Y~448140Y~448150Y~448190Y~448210Y~451110Y~452990Y~453210Y~453220Y~453310Y~453920Y~453991Y~453998Y~454111Y~454113Y~454210Y,0,,CHRISTOPHER,,JOHNSON,,4042274727,,4047458333,johndough_3@yahoo.com,0,,,,,,BL,,
KOREAN COMMUNITY CTR OF NY,,14403 BAYSIDE AVE,,FLUSHING,NY,11354,NORTHEAST,20030724,,8H,4,A8~H2~HK~VW,511130,PROF/TECH SVCS,128,511110N~511120N~511130N~511140N~511191N~511199N~511210N~512110N~512120N~512131N~512132N~512199N~512210N~512220N~512230N~512240N~512290N~515111N~515112N~515120N~515210N~517110N~517210N~517410N~517911N~517919N~518210N~519120N~519130N~519190N~531210N~531311N,4,B553~R416~R423~R424,LOTUS KING,,WEISS,PRESIDENT ANDCEO,2012063080,,7186290400,celestrialwater@gmail.com,0,,,,,,,,
MARITIME SOLUTIONS INC,ALLMARITIMEPARTS.COM,9921 NW 31ST ST,,MIAMI,FL,33172,SOUTH,20020520,,2L,8,23~27~2X~8E~8W~A2~FR~VW,541330,PROF/TECH SVCS,719,112910Y~112990Y~113110Y~113210Y~114112Y~114119Y~114210Y~115111Y~115112Y~115113Y~115114Y~115115Y~115116Y~115210Y~115310E~213112Y~213113Y~213114Y~213115Y~221310Y~221320Y~221330Y~236115Y~236116Y~236117Y~236118Y~236210Y~236220Y~237110Y~237120Y~237130Y~237210Y,9,AD24~AD26~AD34~AD36~AP51~AP54~J019~J020~J029,NISHA,,GAUTAM,,3059847772,,7579619911,msolutionsinc@yahoo.com,0,,,,,,AP,Y,
MIRAMAX LLC,,10111 NW 21ST CT,,PEMBROKE PINES,FL,33026,SOUTH,20140202,,2K,6,23~27~2X~LJ~PI~VW,315220,MANUFACTURING,107,213114Y~213115Y~221111Y~221112Y~221113Y~221114Y~221115Y~221116Y~221117Y~221121Y~221122Y~221210Y~221310Y~221330Y~236115Y~311421Y~311423Y~311511Y~311513Y~311514Y~311520Y~311611Y~311612Y~311911Y~311919Y~311920Y~311941Y~311942Y~311991Y~311999Y~312111Y~312112Y,38,1005~1010~1015~1020~1025~1030~1035~1040~1045~1055~1070~1075~1080~1090~1095~1210~1220~1230~1240~6135~6140~6145~6150~6160~6210~6220~AC94~AD13~AD14~AD15~AD16~AD17~AD21~AD24~AD47~AD56~AD57~AD61,EDUARDO,,CASTILLO,OWNER,7542046047,,,edcast9@aol.com,0,,,,,,HI,,
ODDO CONSTRUCTION SERVICES LLC,,"1416 SWEET HOME RD, STE 9A",,AMHERST,NY,14228,NORTHEAST,20050525,http://www.oddoconstruction.com,2J,10,23~27~2X~8E~8W~A2~FR~HQ~LJ~VW,236220,CONSTRUCTION,51,236115Y~236116Y~236117Y~236118Y~236210Y~236220Y~237110Y~237120Y~237130Y~237210Y~237310Y~237990E~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238340Y~238350Y~238390Y~238910Y~238990Y~332312Y,125,5440~5450~5620~5650~C1AA~C1AB~C1AZ~C1BD~C1BE~C1BG~C1BZ~C1CA~C1CZ~C1DA~C1DB~C1DZ~C1EB~C1EC~C1EZ~C1FA~C1FB~C1FC~C1FE~C1FZ~C1GB~C1GC~C1GZ~C1HA~C1HB~C1HC~C1KA~C1LA~C1LB~C1LZ~C1MG~C1MH~C1NE~C1NZ~C1PZ~C1QA~C211~F108~H238~H256~H338~H938~J045~J054~J056~J061~K045~,YONGMI (AMY),,ODDO,SOLE MEMBER,7166894766,,7166892112,amy@oddoconstruction.com,2,A620181008~XX,X,,,X,AP,Y,C
OUTSIDE THE BOX CONSULTING SERVICES LLC,OTB CONSULTING,5C LEXINGTON LN,,PALM BEACH GARDENS,FL,33418,SOUTH,20150101,,ZZ,5,27~2X~A5~LJ~VW,541611,ADMIN/BUSINESS SVCS,77,236220Y~238110Y~238120Y~238140Y~238150Y~238160Y~238170Y~238990Y~323111Y~323117Y~323120Y~325411Y~325412Y~325413Y~325414Y~333517Y~335999Y~339113Y~423610Y~454111Y~454112Y~454113Y~485410Y~524292Y~532120Y~532490Y~541110Y~541120 ~541191Y~541213Y~541214Y~541219Y,70,B513~B550~C100~C1AA~C1AB~C1AZ~C1BA~C1BB~C1BC~C1BD~C1BE~C1BF~C1BG~C1BZ~C1CA~C1CZ~C1DA~C1DB~C1DZ~C1EA~C1EB~C1EC~C1ED~C1PD~C1PZ~C1QA~C213~E1AZ~E1ED~E1KZ~F000~F001~F002~F003~F004~F005~F006~F007~F008~F012~F013~H138~H156~H238~H256~H338~J038~J056~M1AZ~R602~R603~,CHRIS,,MCMAHON,DIRECTOR OF OPERATIONS,8658056785,,,otbllc999@gmail.com,0,,,,,,,,
"PINNACLE CIVIL AND GENERAL CONTRACTORS, LLC",,13816 DEER CHASE PL,,JACKSONVILLE,FL,32224,SOUTH,20070327,http://www.pinnaclecgc.com,2L,9,27~2X~A5~HQ~LJ~PI~QF~VW~XS,236220,CONSTRUCTION,94,115310E~212321Y~212322Y~221310Y~221320Y~236115Y~236116Y~236117Y~236118Y~236210Y~236220Y~237110Y~237120Y~237130Y~237210Y~237310Y~237990E~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238340Y,38,4110~4120~4130~4140~4210~4220~4310~4410~4510~4620~4630~5420~5440~5450~5650~5660~5670~5855~7910~9110~AD61~AD62~AD64~AD65~AD66~C1AA~C1AB~C1AZ~C1FD~C1FE~C1JZ~C1KF~Z2FA~Z2FD~Z2NB~Z2ND~Z2NZ~Z2PA,JAVIER,E,GARCIA,MANAGING MEMBER,9044979275,,8664171729,jgarcia@pinnaclecgc.com,1,A620190805,X,,,,HI,,C
"POWER SOLUTIONS ELECTRIC, INC.",POWERSOLUTIONS,"11200 SAINT JOHNS IND PKWY N, SUITE 2",,JACKSONVILLE,FL,32246,SOUTH,20040810,http://www.powersolutionsus.com,2L,8,27~2X~8E~8W~A2~HQ~VW~XS,238210,CONSTRUCTION,29,236116Y~236118Y~236210Y~236220Y~237110Y~237130Y~237210Y~237310Y~237990E~238110Y~238120Y~238130Y~238140Y~238150Y~238160Y~238170Y~238190Y~238210Y~238220Y~238290Y~238310Y~238320Y~238330Y~238350Y~238390Y~238910Y~238990Y~561621Y~562910E,272,C1AA~C1AB~C1AZ~C1BA~C1BB~C1BC~C1BD~C1BE~C1BF~C1BG~C1BZ~C1CA~C1CZ~C1DA~C1DB~C1DZ~C1EA~C1EB~C1EC~C1ED~C1EE~C1EZ~C1FA~C1FB~C1FC~C1FD~C1FE~C1FF~C1FZ~C1GA~C1GB~C1GC~C1GD~C1GZ~C1HA~C1HB~C1HC~C1HZ~C1JA~C1JB~C1JZ~C1KC~C1KD~C1KE~C1KF~C1KZ~C1LA~C1LB~C1LC~C1LZ~C1MA~,JOYCE,,SMITH,CEO,9042887710,,9042889210,jsmith@powersolutionsus.com,1,A620190208,X,,,,,Y,C
"PROPERTY FUNDING PARTNERS, LLC",PROPERTY PARTNERS,420 BARNETT SHOALS RD LOT 4,,ATHENS,GA,30605,SOUTH,20091223,http://www.GovernmentContractsForBusiness.com,2L,3,2X~LJ~VW,423490,WHLS/RETAIL/TRANSPORT,819,111110Y~111120Y~111130Y~111140Y~111150Y~111160Y~111191Y~111199Y~111211Y~111219Y~111310Y~111320Y~111331Y~111332Y~111333Y~111334Y~111335Y~111336Y~111339Y~111411Y~111419Y~111421Y~111422Y~111910Y~111920Y~111930Y~111940Y~111991Y~111992Y~111998Y~112111Y~112112Y,0,,CLARK,,FORTSON,,7062024324,,8666785320,cfort44176@aol.com,0,,,,,,,,
RB GLOBAL TECHNOLOGIES & TELECOMMUNICATIONS,SWEETWATER FARMS,4227 ELLIS LN,,MARIANNA,FL,32446,SOUTH,20120801,www.rbgttcorp.com,8H,11,23~2X~8E~8W~A2~H2~HK~NB~OW~VW~XS,541611,ADMIN/BUSINESS SVCS,186,111219N~111336N~111419N~111998N~115113N~115116N~236115N~236116N~238160N~238190N~238310N~238320N~311111N~311411N~311412N~311421N~311423N~311813N~311919N~311991N~311999N~315190N~315220N~315240N~315280N~315990N~316992N~316998N~321920N~321992N~322299N~325220N,0,,BERNADETTE,,RODGERS,,8505328351,,8504828631,support@rbgttcorp.com,0,,,,,,NA,Y,
ROBERT JAMES BRASSELL ESTATE,ESTATE OF ROBERT J BRASSELL,40 LANTERN ST BASEMENT,,HUNTINGTON,NY,11743,NORTHEAST,20020914,,ZZ,2,2U~VW,541711,ADMIN/BUSINESS SVCS,276,112920N~115210N~115310E~221310N~236115N~236118N~236220N~237110N~237990E~238210N~238320N~238910N~238990N~311119N~311211N~311212N~311213N~311221N~311224N~311225N~311230N~311313N~311314N~311340N~311351N~311352N~311411N~311412N~311421N~311422N~311511N~311514N,93,1005~1015~1020~1025~1030~1040~1055~1070~1115~1120~1125~1130~1135~1140~1145~1190~1195~1210~1220~1230~1240~1250~1260~1265~1270~1280~1285~1290~1395~1540~1550~4230~4235~4240~4250~5830~5855~5895~5905~5910~5915~8140~8145~AA15~AA25~AA35~AA91~AA92~AA93~AA94~AA95~,ROBERT,J,BRASSELL JR,SOLE ESTATE ADMINISTRATOR,9172630857,,7035718951,Hu7138e4i1@aol.com,0,,,,,,,,
ROCKET CITY SUPPLY INC.,,2240 FREEDOM AVE,,MIMS,FL,32754,SOUTH,20140327,,2L,6,27~2X~8W~A2~VW~XS,423390,WHLS/RETAIL/TRANSPORT,36,423310Y~423320Y~423330Y~423390Y~423410Y~423420Y~423430Y~423440Y~423450Y~423490Y~423510Y~423610Y~423620Y~423690Y~423710Y~423720Y~423730Y~423820Y~423830Y~423840Y~423850Y~423860Y~423910Y~423990Y~424110Y~424120Y~424130Y~424320Y~424330Y~424340Y~424610Y~424690Y,211,1070~1080~1210~1660~1930~1935~2240~2250~2320~2330~2340~2530~2590~2610~2630~2640~2815~2920~2930~2940~2990~3010~3020~3030~3040~3110~3120~3130~3220~3230~3405~3408~3410~3413~3414~3415~3416~3417~3418~3419~3422~3424~3426~3431~3432~3433~3436~3439~3441~3442~3444~,SUSAN,S,LEWIS,PRESIDENT,3215673600,,3215673603,susanlewis@rocketcitysupply.com,0,,,,,,,,
ROYAL AQUARIUS EMPIRE,ROYAL AQUARIUS ENGINEERING INDUSTRIES,2462 YARDVILLE HAMILTON SQU RD,,HAMILTON,NJ,8690,NORTHEAST,20090201,www.raecorp.us,2L,3,27~2X~VW,333249,MANUFACTURING,86,313310Y~313320Y~331110Y~332216Y~332312Y~332321Y~332410Y~332510Y~332613Y~332710Y~332722Y~332911Y~332912Y~332913Y~332919Y~332991Y~332992Y~332993Y~332994Y~332996Y~332999Y~333111Y~333112Y~333120Y~333131Y~333132Y~333241Y~333242Y~333243Y~333244Y~333249Y~333318Y,66,1005~1010~1015~1020~1025~1030~1095~1135~1140~1280~1285~1287~1290~1336~1337~1420~1610~1615~1710~1810~2010~2090~2910~3414~3720~4120~4140~4920~5110~5120~5136~5140~5310~5810~6110~6115~6515~AC13~AD21~AD22~AD32~AD34~AD63~AD64~AD65~C100~C212~H110~H116~H117~H118~,MUHAMMAD,ALI,TEMURI,PRINCE,6468473322,,8773950661,info@raecorp.us,0,,,,,,,,
"SAGECARE, INC.",SAGECARE,3825 HENDERSON BLVD STE 200,,TAMPA,FL,33629,SOUTH,20090701,http:///www.sagecarecorp.com,2L,6,2X~A5~MF~QF~VW~XS,424720,WHLS/RETAIL/TRANSPORT,127,115112Y~115310E~211111Y~212393Y~221112Y~221114Y~221210Y~221310Y~221330Y~236220Y~237130Y~238150Y~238170Y~238190Y~238210Y~238220Y~238330Y~324110Y~324191Y~324199Y~325120Y~325311Y~325312Y~325314Y~325320Y~332710Y~333911Y~334111Y~334417Y~334419Y~334510Y~334515Y,21,5935~5995~5999~6110~6115~6116~6150~7010~7020~7021~7025~7030~7035~7045~9130~9140~B599~H965~J065~N065~R702,DAVID,,SNYDER,,8138107479,,8136446804,dmtsnyder@sagecarecorp.com,0,,,,,,,,
SIERRA AMERICAN CORP,,8005 SW 107 AVE #218,,MIAMI,FL,33173,SOUTH,20110808,,2L,6,23~27~2X~PI~VW~XS,236220,CONSTRUCTION,285,113110Y~113210Y~113310Y~115310E~211111Y~211112Y~212111Y~212112Y~212113Y~212210Y~212221Y~212222Y~212231Y~212234Y~212291Y~212299Y~212311Y~212312Y~212313Y~212319Y~212321Y~212322Y~212324Y~212325Y~212391Y~212392Y~213111Y~213112Y~213113Y~213114Y~213115Y~221111Y,0,,ARNOLD,R,SIERRA,,3059649711,,,arnold@arnoldsierra.com,0,,,,,,HI,,
SMART HARNESS INC.,,4306 26TH AVE,,VERO BEACH,FL,32967,SOUTH,20130107,,2L,7,23~27~2X~HQ~MF~OY~VW,315990,MANUFACTURING,167,213111Y~213112Y~213113Y~213114Y~213115Y~221111Y~221112Y~221113Y~221114Y~221115Y~221116Y~221117Y~221118Y~221121Y~221122Y~221210Y~221310Y~221320Y~221330Y~236115Y~236116Y~236117Y~236118Y~236210Y~236220Y~237110Y~237120Y~237130Y~237310Y~237990E~238110Y~238120Y,114,6105~6110~6115~6116~6117~6120~6125~6130~6135~6140~6145~6150~6160~6210~6220~AC95~AC96~AC97~AD16~AD21~AD22~AD23~AD24~AD25~AD26~AD27~AD32~AD33~AD34~AD35~AD36~AD41~AD42~AD43~AD44~AD45~AD46~AD47~AD55~AD57~AD61~AD62~AD63~AD64~AD65~AD66~AD67~AD91~AD92~AD93~AD94~,WILLIAM,,MOSLEY,,7727138698,,,SMARTHARNESSINC@GMAIL.COM,0,,,,,,BL,,C
"SONJE YO, INC.",,3549 HAMLIN SQ,,ATLANTA,GA,30331,SOUTH,20050212,,8H,6,23~A8~H2~HK~OY~VW,111110,AG&MINING,257,111110N~111120N~111130N~111140N~111150N~111160N~111191N~111199N~111211N~111219N~111310N~111320N~111331N~111332N~111333N~111334N~111335N~111336N~111339N~111411N~111419N~111421N~111422N~111910N~111920N~111930N~111940N~111991N~111992N~111998N~112111N~112112N,5,AE12~AF11~AH92~AK11~AM13,ESAI O,OZE,AMBO,EXECUTIVE DIRECTOR,7542453345,,4047484383,ambassador39ambo@aol.com,0,,,,,,BL,,
"SUMLIN GROUP FMG LLC, THE",LANDSTAR GLOBAL TRANSPORTATION,1000 DULUTH HIGH WAY,,LAWRENCEVILLE,GA,30043,SOUTH,20130612,,ZZ,6,23~27~2X~LJ~OY~VW,561499,ADMIN/BUSINESS SVCS,196,212312Y~212313Y~212319Y~212321Y~212322Y~212324Y~212325Y~212391Y~212392Y~212393Y~212399Y~213111Y~213112Y~213113Y~213114Y~213115Y~221111Y~221112Y~221113Y~221114Y~221115Y~221116Y~221118Y~221121Y~221122Y~221210Y~221310Y~221320Y~221330Y~236115Y~236116Y~236117Y,6,AC94~AC95~AC96~AC97~AD11~AD43,MICHAEL,L,SUMLIN,OWNER,4048082994,,,mikesumlin@yahoo.com,0,,,,,,BL,,
"TATTERSALL, INC.",TATTERSALL'S BUILDING MATERIAL,309 N WILLOW ST,,TRENTON,NJ,8618,NORTHEAST,19860601,http://www.gov.tattersallinc.com,ZZ,5,2X~8W~A2~VW~XS,423840,WHLS/RETAIL/TRANSPORT,176,212311Y~213113Y~221310Y~237130Y~238210Y~313210Y~314994Y~314999Y~315220Y~321999Y~322220Y~323111Y~323117Y~324121Y~324122Y~324191Y~325110Y~325130Y~325180Y~325211Y~325212Y~325510Y~325520Y~325611Y~326111Y~326113Y~326150Y~326191Y~326199Y~326220Y~326299Y~327910Y,0,,JARED,,WISCHE,,6093934293,202,6094987920,info@tattersallinc.com,1,XX,,,,X,,,
